,text,result
284,guideline medical public health management hen,disaster
285,fight,NO disaster
286,fight,NO disaster
287,good mine could better alright,NO disaster
288,trip keep id forfeit due,NO disaster
289,add dont even know talking,NO disaster
290,never got give might well blaze another one,NO disaster
291,yeah creamy white stuff,NO disaster
292,reaction,NO disaster
293,port fire crew say electric towel warmer four alarm blaze last week several,NO disaster
294,video blaze drive,NO disaster
295,craving,NO disaster
296,need go like yesterday,NO disaster
297,blaze,NO disaster
298,homeless blaze near,NO disaster
299,eat blaze,NO disaster
300,big buzzy kame home year,NO disaster
301,banging,NO disaster
302,bitch say hot say bitch blazing,NO disaster
303,need blazing think watt far impressive another quick little guy,NO disaster
304,checked blazing horse tattoo yelp,NO disaster
305,midnight song cry go reality reality erased blazing sun,NO disaster
306,ever blazing,NO disaster
307,ready go meet bring blazing sunshine fun time,NO disaster
308,old lady town delta,NO disaster
309,enjoying shade sun blazing cool west park,NO disaster
310,happening rescue blazing blasting air,NO disaster
311,night insomnia whole stop blazing real,NO disaster
312,series wildfire northern continue least five fire,NO disaster
313,hosting get blazing speed professional management unlimited option,NO disaster
314,come join trail diversified world,NO disaster
315,old lady town delta,NO disaster
316,hot blazing even though wildfire going even big massive rocky fire,NO disaster
317,people understand cant bleeding tweet everyone head hardly,NO disaster
318,house near bleeding company,NO disaster
319,wish could watch gif account posted,NO disaster
320,lewis ever see video singing bleeding,NO disaster
321,cool read though may look,NO disaster
322,cut open keep singer,NO disaster
323,bleeding,NO disaster
324,promise bleeding rio whooping trick,NO disaster
325,look like coming need stop best performance,NO disaster
326,stabbing really affect get stab wound bleeding backwards,NO disaster
327,yeah hate cat tried pet cat hand bite mark scratch mark,NO disaster
328,wrap cloth wound still bleeding fall ground going die,NO disaster
329,ear bleeding,NO disaster
330,bad eye ear bleeding,NO disaster
331,want quit even bleeding,NO disaster
332,quickly get popular,NO disaster
333,snap,NO disaster
334,get follow back,NO disaster
335,damn,NO disaster
336,wow social medium really twain concert,NO disaster
338,always one phone call away many people done chance,NO disaster
339,well tweet fast,NO disaster
340,well sleeping,NO disaster
341,poor white guy made pizza mac cheese sad,NO disaster
342,wow believe funny clever person like,NO disaster
343,either till mention,NO disaster
344,around map work yeah think,NO disaster
345,stadium,NO disaster
346,balloon thing rude would balloon whoever face,NO disaster
347,yeah true got exposed probably went,NO disaster
348,reason ego cause cod champ strictly look,NO disaster
349,kick loan effort,NO disaster
350,land bank target first latrobe building property acquisition fight,NO disaster
351,lot talk susceptible shoot blight without,NO disaster
352,help fight northern corn leaf blight headline,NO disaster
353,cole,NO disaster
354,imagine old god start blight,NO disaster
355,blight barn hickory road near,NO disaster
356,height shaker height fight blight via,NO disaster
357,keep great work councilman,NO disaster
358,blight every day,NO disaster
359,like leave snide person blight upon face earth,NO disaster
360,important inquisition fighting one get blight entire game,NO disaster
361,member blight ordinance said success property change hand,NO disaster
362,time ripe yet another banana appeal future banana,NO disaster
363,red eye crossing potato servile,NO disaster
364,made progress blight many burned shell house,NO disaster
365,per sun piece last year think opposite urban blight,NO disaster
366,renewable energy agree horrible blight landscape,NO disaster
367,mop,NO disaster
369,literally lunch cheese curd dinner blizzard pray health,NO disaster
370,oh see blizzard,NO disaster
371,check new sale lizard stuck,NO disaster
372,deck building year old daughter,NO disaster
373,blizzard,NO disaster
374,storm siege gaming glass wow blizzard full,NO disaster
375,game drove blizzard,NO disaster
376,horrible moment open look like snowy blizzard left piece paper jean pocket,NO disaster
377,blizzard another month sub thing gave next wow free would knock sub count pretty high,NO disaster
378,sending subliminal message ice cream therefore need blizzard,NO disaster
379,new legend,NO disaster
380,relate jean ur also enjoy blood dance floor,NO disaster
381,seen blood,NO disaster
382,bring horizon blood giant art print panel poster,NO disaster
383,thing,NO disaster
384,bitch monster good blood sucker,NO disaster
385,golden,NO disaster
386,make related loyalty make,NO disaster
387,remind blood,NO disaster
388,reason blood pressure medicine,NO disaster
389,gay men donate,NO disaster
390,new blood come make sure,NO disaster
391,penny post octagonal black grid cancel,NO disaster
392,seeing blood surgery regular behind desk say dentist real doctor,NO disaster
393,sometimes blood water sometimes family bring stranger,NO disaster
394,type,NO disaster
395,whole new shouting join radio,NO disaster
396,whats bloody use bus everything one driving bus,NO disaster
397,best guest episode bloody,NO disaster
398,bloody hot room,NO disaster
399,bloody excited see,NO disaster
400,buy new one bloody ell,NO disaster
401,twitter since bloody,NO disaster
402,awful ruined balance guy bloody mess,NO disaster
403,bloody hell brain,NO disaster
404,swear eye bloody red bitch feel,NO disaster
405,anyway running mouth bloody sure bigger calm hell,NO disaster
406,bloody nurse waking eventually fall asleep hospital,NO disaster
407,deal right bloody,NO disaster
408,nightmare elm getting via,NO disaster
409,bloody hell teen wolf cute think jeep dead huh,NO disaster
410,luckily cause came cut grass early full blown attitude,NO disaster
411,nobody wit busy yo get blown,NO disaster
412,yes know yes smoke blown ur,NO disaster
413,whole thing blown face right wrong public relentless court public opinion,NO disaster
414,understand white post blown,NO disaster
415,getting blown poster,NO disaster
416,license picture blown absolutely,NO disaster
417,deadly suicide hit mosque suicide bomber blown mosque,disaster
418,phone blown,NO disaster
419,due get blown least still winnable,NO disaster
420,lock last shred manhood accept full blown sissy,NO disaster
421,get blown delicious flavor strawberry cherry try today,NO disaster
422,run rain blown,NO disaster
423,blown twitter look,NO disaster
424,hope get blown drone attack whilst visiting family,NO disaster
425,blown away support even hung,NO disaster
426,first thought pretty sure post year,NO disaster
427,new lady shoulder tote handbag leather hobo purse cross body bag woman full,NO disaster
428,cute soft washed fabric camouflage outdoor shoulder bag pack purple camouflage,NO disaster
429,cross body bag purse zipper shoulder bag camouflage phone case camera case wallet wallet wallet,NO disaster
430,monogram limited edition clutch cross body bag full read,NO disaster
431,digital camera body battery carry bag charger,NO disaster
432,brown cross body shoulder bag monogram full,NO disaster
433,vampire cross body small shoulder bag,NO disaster
434,diesel printed front cross body shoulder bag one size,NO disaster
435,new lady shoulder tote handbag woman cross body bag leather fashion purse full,NO disaster
436,digital camera body battery carry bag charger,NO disaster
437,new lady shoulder tote handbag leather hobo purse cross body bag woman,NO disaster
438,would love win amazing filled beauty bag content body shop,NO disaster
439,parenthood employee laugh aborted baby body part mixed together,NO disaster
440,new lady shoulder tote handbag leather hobo purse cross body bag woman,NO disaster
441,body bag,NO disaster
442,bag via daily deal,NO disaster
443,genuine leather man bag messenger fit tablet case cross body air full,NO disaster
444,think time cause drake done body bagging,NO disaster
445,people bagging love body like probably dude skinny jean,disaster
446,bagging last spot body attack,NO disaster
447,dear lord forgive body bagging amen drake,NO disaster
448,first second body bagging sight,NO disaster
449,drake really body bagging meek,NO disaster
450,remember halo interview time devil body bagging,NO disaster
451,artist pay homage late great small body bagging hypnotize,NO disaster
452,drake kill meek mill bagging dead body,disaster
453,man start body bagging local photographer,NO disaster
454,body,NO disaster
455,drake body bagging meek,NO disaster
456,body bagging think time bring bag,NO disaster
457,need stop paying attention body bagging worry bout happen,NO disaster
458,hear north body bagging never got spitter south,NO disaster
459,even drake killing game really watered singing body bagging,NO disaster
460,used werewolf also tea bagging body like minute fighting someone else,NO disaster
461,movie via,NO disaster
462,man need defenseless thug cop get get put cool new body,NO disaster
463,body bag,NO disaster
464,coming home body kingdom,NO disaster
465,hot lady handbag leather shoulder tote satchel messenger cross body bag green handbag,NO disaster
466,investigating post saying police put body,NO disaster
467,mistake come back body leading world armed force,NO disaster
468,woman stylish metal chain pearl solid shoulder cross body bag golden,NO disaster
469,woman flower printed shoulder handbag cross body metal chain satchel bag pink,NO disaster
470,one top tweet japan young person know anniversary bomb,NO disaster
471,mark year since city mark anniversary,disaster
472,last year platinum artist,NO disaster
473,coming bomb teacher never final went salt grass bought food,NO disaster
475,rip time atom bomb,NO disaster
476,kerry barry got taken making bomb talk went,NO disaster
477,think bomb raise sort great question one,NO disaster
478,censor account suffering,NO disaster
479,hit atomic,NO disaster
481,sex bomb yo,NO disaster
482,hansel witch bomb as late,NO disaster
483,mark amid fear eroded pacifism japan,NO disaster
484,bomb,NO disaster
485,aunt gave drink game never tell though,NO disaster
486,giving minute enjoy famous architect time bombed skyscraper,NO disaster
487,photo bombed princess,NO disaster
488,get call back interview thought bombed,NO disaster
489,hour yr ago one act mass murder world history,disaster
490,year ago bombed say,NO disaster
491,look like bombed look monster,NO disaster
492,bombed nuclear weapon little plane gay,disaster
493,deal either deal abandon program get deal right wing love,NO disaster
494,picture cute sleeping puppy photo bombed demon,NO disaster
495,remind bombed asylum applicant,NO disaster
496,get,NO disaster
497,bombed fake bolt chat everyone thought bolt ended,NO disaster
499,dont really talk murder campaign murder,NO disaster
500,mark anniversary atomic via world,disaster
501,japan mark anniversary atomic,disaster
502,japan mark anniversary atomic,disaster
503,like survive atomic,disaster
504,anniversary,NO disaster
505,japan mark anniversary atomic,disaster
506,mark anniversary atomic associated press via,disaster
507,atomic japan,NO disaster
508,japan mark anniversary atomic bell japan,disaster
509,japan mark anniversary atomic,disaster
510,yr since atomic terrible mass,NO disaster
511,breaking collapse hapless bridge,NO disaster
512,project plan united,NO disaster
513,two giant crane holding bridge collapse nearby home,disaster
514,currently building church third bridge likely collapse,NO disaster
515,throwback thought citizen medium bridge collapse disaster,disaster
516,ash collapse bridge among worst,NO disaster
517,two giant crane holding bridge collapse nearby home,disaster
518,throwback bridge collapse citizen journalism,disaster
519,institute member problem infrastructure,NO disaster
520,collapse bridge twitter first morning fourth ash,NO disaster
521,batting collapse bridge,NO disaster
522,injured missing bridge collapse central,disaster
523,ash disaster collapse unfolded bridge telegraph,disaster
524,sport batting collapse bridge,NO disaster
525,injured bridge collapse swiss kosher accident hotel,disaster
526,scary thought today would taking front burning building,NO disaster
527,sound like song would hear movie walking away burning building car,NO disaster
528,run burning building,NO disaster
529,run burning work tech,NO disaster
530,like folk said building city trying get information prevent,NO disaster
531,like burning building knowing originally,NO disaster
532,kou like,NO disaster
533,hate looney always burning building private property,NO disaster
534,rule long go burning jump perfectly good awaken sleeping,NO disaster
535,port fire burning several business,NO disaster
536,par sick helping people move talking movie people burning,NO disaster
537,especially really nothing tear burning building save city money real,NO disaster
538,fire brigade play guy music burning building put flame,NO disaster
539,two building burn two building burning fire delta,disaster
540,sure folk rush burning building grateful,NO disaster
541,jane fire building context driver,NO disaster
542,change,NO disaster
543,security want help case emergency like building fire leaving,NO disaster
544,thats would building fire,NO disaster
545,apartment across street fire right second time building caught fire,NO disaster
546,testimony human spirit set fire office building,NO disaster
547,multiple building fire downtown fire threatening level entire,disaster
548,building shelled fire casualty wounded,NO disaster
549,lightening struck unit building development check wall recent post,NO disaster
550,indiscriminate shelling castle set st building,NO disaster
551,building fire behind,NO disaster
552,two building involved fire street,NO disaster
553,agricultural building fire fire rescue service grim news piglet caught,NO disaster
554,multiple fighting fire,NO disaster
555,multiple building fire downtown fire threatening level entire,disaster
556,happy pensioner watching report unsafe cladding catching fire,NO disaster
557,multiple fire,NO disaster
558,family home burned ready go back school,NO disaster
559,burned,NO disaster
560,burned stake,NO disaster
561,let tell brought today heat burned,NO disaster
562,last city everyone burned terrorism scale,NO disaster
563,back break light burned show next day,NO disaster
564,burned republican many time least talking thing important good luck,NO disaster
565,burned calorie minute total body,NO disaster
566,white talking got burned iron black woman neck,NO disaster
567,yeah going home computer next two getting really burned really,NO disaster
568,sorry sure matter prob burned,NO disaster
569,got rhyme got like prodigal son stepping get,NO disaster
570,national dunce got burned,NO disaster
571,last week accidentally burned cigarette would,NO disaster
572,know burned week ago similar spot getting pitch save inn,NO disaster
573,keep calling never stop loving got,NO disaster
574,heart burned somehow still work,NO disaster
575,wired fire burning budget,NO disaster
576,chopped finger painful wear pepper,NO disaster
577,burning fossil fuel making global weather temp biggest flood past year,disaster
578,currently burning skin,NO disaster
579,comrade need support smile nod wave,NO disaster
580,wow legion slouching towards broken close enough burning,NO disaster
581,led killer workout today core worktime nob,NO disaster
582,peddle end four burning park pile baby watch step,NO disaster
583,burning bridge,NO disaster
584,real burn book entry place always burning,NO disaster
585,fear fever feel feel fire burning trick ya swallow,NO disaster
586,burning legion returned,NO disaster
587,burning house via,NO disaster
588,burning sure burn,NO disaster
589,put ton still burning,NO disaster
590,blizzard detail new dungeon raid world burning,NO disaster
591,burning killing,NO disaster
592,common breaker trip threshold protect wire used power outlet,NO disaster
593,burning flame,NO disaster
594,fire burning apartment,NO disaster
595,one challenge tough enough people burning,NO disaster
596,getting rid every last drop life crawl burning building life,NO disaster
597,brave people opinion know could save burning building house salute,NO disaster
598,rocky fire burning ca still threatening state one nearly dozen burning,NO disaster
599,video man ogre claw burning,NO disaster
600,sure folk rush burning building grateful,NO disaster
601,destruction fine go burning,NO disaster
602,high sky burning building,NO disaster
603,used drone help lead people burning help put fire,NO disaster
604,attack attack health attack health attack,NO disaster
605,soaring southern state causing bush fire pity allow rain,NO disaster
606,know hot bush fire right near villa,NO disaster
607,cause first victim multiple fire first bush,NO disaster
608,drove past field fire bush fire used get south,NO disaster
609,bush food,NO disaster
610,mother nature halt blue mountain,NO disaster
611,say bush fire reason hot,NO disaster
612,cause first victim multiple fire first bush,NO disaster
613,like goat dislike bush fire probably video,NO disaster
614,time bush fire living,NO disaster
615,much volcano bush fire raging put none believer mention,NO disaster
616,fire make conspiracy population control bush,NO disaster
617,robot could reduce civilian casualty calling ban premature,disaster
618,let hope concert end zero casualty amen,NO disaster
619,weapon support bloody air war,NO disaster
620,woman child casualty violence,disaster
621,fair change always unfortunate like welly,NO disaster
622,memorial day year august total casualty god forgive,NO disaster
623,robot could reduce civilian casualty calling ban premature,disaster
624,always casualty right thing especially going cost,NO disaster
625,think bunch untrained people firing back going cause casualty,NO disaster
626,trump prefer civilian,NO disaster
627,million forget,NO disaster
628,weapon support bloody air war,NO disaster
629,appreciate group people everyone hate much police mass casualty today,NO disaster
630,look casualty number dead side see,NO disaster
631,ally forecast invasion japan minimum million casualty,NO disaster
632,call,NO disaster
633,litigation attorney claim specialist casualty bodily injury job,NO disaster
634,social casualty,NO disaster
635,first casualty war tony blair case,NO disaster
636,wine become casualty political campaign,NO disaster
637,oh coffee po casualty come perfect coffee,NO disaster
638,associated agency property casualty account manager job insurance,NO disaster
639,climate first major casualty via,NO disaster
640,deal warship repay russia via,NO disaster
641,casualty ash,NO disaster
642,keep alive sound intensity level keeping auditory effect casualty,NO disaster
643,give money hear social casualty live buck give,NO disaster
644,reach,NO disaster
645,read casualty know help spread word,NO disaster
646,business casualty,NO disaster
647,disconnected reason close stranger heartbreak girl reject social casualty,NO disaster
648,fox news biggest medium catastrophe people love living,disaster
649,twist ultimate preparedness prepare,NO disaster
650,evil book got catastrophe saying,NO disaster
651,catastrophe,NO disaster
652,wonderful person,NO disaster
653,quietly waiting catastrophe personality seem beautiful interesting,NO disaster
654,summer catastrophe,NO disaster
655,mother chucker catastrophe much hotness one room,NO disaster
656,good agree failure,NO disaster
657,sorry pretty sure ate catastrophe,NO disaster
658,desperate watch last episode get,NO disaster
659,hello president really big problem regarding water situation like,NO disaster
660,wolf face catastrophe population plummeted,NO disaster
661,two show summer catastrophe unreal,NO disaster
662,catastrophic loss love barn scene short shirtless dominion,NO disaster
663,something catastrophic tune,NO disaster
664,following catastrophic event united state president first post,NO disaster
665,catastrophic history,NO disaster
666,rise wage going catastrophic impact wage going,NO disaster
667,need explain hate mailer catastrophic fail,NO disaster
668,catastrophic effect atomic still felt today,disaster
669,society respond looming crisis uncertain timing catastrophic,NO disaster
670,dear anyone family alive,NO disaster
671,cancer everything catastrophic feel hit rock start got,NO disaster
672,catastrophic outcome may come faster,NO disaster
673,stop extreme regulation hurt middle class,NO disaster
674,consequence could also informed security primarily,NO disaster
675,gaming learning legacy catastrophic plume ash eruption,disaster
676,want sell boat car truck,disaster
677,long baby blissfully unaware catastrophic day happy fed,NO disaster
678,catastrophic pant failure work tying jacket around waist til got thrift,NO disaster
679,society collapse due catastrophic food shortage say study,NO disaster
680,dear anyone family alive,NO disaster
681,something catastrophic tune via,NO disaster
682,chemical brother play armory tomorrow emergency bay area announcement,NO disaster
683,fake toxic drill emergency responder pope million visit,NO disaster
684,emergency crew scene chemical spill detail come,disaster
685,standard behavior chemical mixer emergency,NO disaster
686,emergency service chemical smell,NO disaster
687,emergency service chemical smell,NO disaster
688,emergency service near,NO disaster
689,chemical spill house emergency service,disaster
690,emergency chemical rinse,NO disaster
691,emergency service chemical smell,NO disaster
692,brigade exercise southern,NO disaster
693,emergency due chemical spill factory near,NO disaster
694,god push edge cliff two thing may catch teach,NO disaster
695,photographer climb capture bride groom,NO disaster
696,might go losing drive cliff fall void,NO disaster
697,hope fall,NO disaster
698,hope fall cliff,NO disaster
699,ugly piece trash hope fall cliff,NO disaster
700,huge cliff landslide road watch moment cliff collapse huge chunk rock fall onto,disaster
701,boy still got man rumor going back de,NO disaster
702,man cliff fall,NO disaster
703,pitcher gracefully lose fall cliff land throwing hard tell get,NO disaster
704,jump cheering back flip hope fall break,NO disaster
705,people would happily see fall,NO disaster
706,keen hope fall cliff keen fitness,NO disaster
707,look tasty problem cliff might fall sea due coastal erosion would crumbly,NO disaster
708,interview collapse materialism best listen,NO disaster
709,tax revenue collapse debt crisis,disaster
